Sample ID,Sample volume (mL),Burned pan (g),Burned pan + Dry residue (g),Dry tissue biomass (g),Bruned pan + Burned residue,Ash Free Dry Weight (g/mL)
OFAV_1-C,4,0.7093,0.7526,0.0433,0.7506,0.0005
OFAV_1-Z,1,0.7175,0.7323,0.0148,0.732,0.0003
OFAV_2-C,4,0.714,0.7804,0.0664,0.7735,0.001725
OFAV_2-Z,1,0.7108,0.7258,0.015,0.7237,0.0021
OFAV_3-C,4,0.7133,0.7812,0.0679,0.7709,0.002575
OFAV_3-Z,1,0.7077,0.7283,0.0206,0.7221,0.0062
OFAV_69-C,4,0.7003,0.7674,0.0671,0.7598,0.0019
OFAV_69-Z,1,0.7116,0.7271,0.0155,0.7248,0.0023
OFAV1.1C,4,0.7197,0.7689,0.0492,0.7668,0.000525
OFAV1.1S,1,0.7189,0.7375,0.0186,0.7365,0.001
OFAV1.2C,4,0.7112,0.7609,0.0497,0.7599,0.00025
OFAV1.2S,1,0.7147,0.7332,0.0185,0.7329,0.0003
OFAV1.3C,4,0.7144,0.762,0.0476,0.7599,0.000525
OFAV1.3S,1,0.7127,0.7272,0.0145,0.7268,0.0004
OFAV1.4C,4,0.7135,0.7631,0.0496,0.7615,0.0004
OFAV1.4S,1,0.7014,0.7166,0.0152,0.7163,0.0003
OFAV1.5C,4,0.7061,0.7525,0.0464,0.7502,0.000575
OFAV1.5S,1,0.7095,0.7262,0.0167,0.726,0.0002
OFAV2.1C,4,0.7188,0.7851,0.0663,0.7758,0.002325
OFAV2.1S,1,0.7073,0.7252,0.0179,0.7207,0.0045
OFAV2.2C,4,0.7034,0.7535,0.0501,0.7508,0.000675
OFAV2.2S,1,0.7025,0.7208,0.0183,0.72,0.0008
OFAV2.3C,4,0.7087,0.7628,0.0541,0.7594,0.00085
OFAV2.3S,1,0.7043,0.7264,0.0221,0.726,0.0004
OFAV2.4C,4,0.7136,0.7615,0.0479,0.7599,0.0004
OFAV2.4S,1,0.7092,0.7247,0.0155,0.7242,0.0005
OFAV2.5C,4,0.7123,0.7642,0.0519,0.7391,0.006275
OFAV2.5S,1,0.7175,0.7399,0.0224,0.7323,0.0076
OFAV3.1C,4,0.706,0.7533,0.0473,0.7489,0.0011
OFAV3.1S,1,0.7109,0.7259,0.015,0.7232,0.0027
OFAV3.2C,4,0.707,0.7538,0.0468,0.7493,0.001125
OFAV3.2S,1,0.6957,0.7074,0.0117,0.7059,0.0015
OFAV3.3C,4,0.7153,0.7617,0.0464,0.7588,0.000725
OFAV3.3S,1,0.707,0.7211,0.0141,0.7177,0.0034
OFAV3.4C,4,0.7047,0.754,0.0493,0.7482,0.00145
OFAV3.4S,1,0.7213,0.7353,0.014,0.7319,0.0034
OFAV3.5C,4,0.7094,0.7571,0.0477,0.7521,0.00125
OFAV3.5S,1,0.7039,0.7195,0.0156,0.7155,0.004
OFAV69.1C,4,0.7088,0.751,0.0422,0.7472,0.00095
OFAV69.1S,1,0.7071,0.7206,0.0135,0.7175,0.0031
OFAV69.2C,4,0.7168,0.764,0.0472,0.7585,0.001375
OFAV69.2S,1,0.7138,0.7292,0.0154,0.7257,0.0035
OFAV69.3C,4,0.7088,0.7561,0.0473,0.7525,0.0009
OFAV69.3S,1,0.719,0.7341,0.0151,0.7302,0.0039
OFAV69.4C,4,0.7089,0.7578,0.0489,0.753,0.0012
OFAV69.4S,1,0.7069,0.7209,0.014,0.7173,0.0036
OFAV69.5C,4,0.6934,0.7375,0.0441,0.7351,0.0006
OFAV69.5S,1,0.7146,0.7267,0.0121,0.7374,-0.0107
