Date,Sample.ID,Mass,Day,V1,V2,V3,Average_V,Density (g/mL),SA,
3/12/25,OFAV_1,6.9359,1,4,4,4,4,1.733975,872.674306,
4/3/25,OFAV_1.1,3.056,1,2,2,2,2,1.528,592.420727,
4/9/25,OFAV_1.1,3.056,2,2,2,2,2,1.528,,
4/3/25,OFAV_1.2,5.886,1,4,4,4,4,1.4715,1071.748771,
4/9/25,OFAV_1.2,5.886,2,4,4,4,4,1.4715,,
4/3/25,OFAV_1.3,2.933,1,2,2,2,2,1.4665,501.285173,
4/9/25,OFAV_1.3,2.933,2,2,2,2,2,1.4665,,
4/3/25,OFAV_1.4,3.652,1,2,2,2,2,1.826,,
4/9/25,OFAV_1.4,3.652,2,2,2,2,2,1.826,,
4/3/25,OFAV_1.5,3.285,1,2,2,2,2,1.6425,1156.116925,
4/9/25,OFAV_1.5,3.285,2,2,2,2,2,1.6425,,
3/12/25,OFAV_2,6.4217,1,2,2,4,2.666666667,2.4081375,625.1354,
4/3/25,OFAV_2.1,7.223,1,5,4,6,5,1.4446,1203.433615,
4/9/25,OFAV_2.1,7.223,2,4,4,4,4,1.80575,,
4/3/25,OFAV_2.2,6.804,1,5,4,5,4.666666667,1.458,1050.507544,
4/9/25,OFAV_2.2,6.804,2,4,4,4,4,1.701,,
4/3/25,OFAV_2.3,14.779,1,8,8,8,8,1.847375,1896.526734,
4/9/25,OFAV_2.3,14.779,2,8,8,8,8,1.847375,,
4/3/25,OFAV_2.4,4.834,1,2,2,2,2,2.417,682.6514,
4/9/25,OFAV_2.4,4.834,2,4,4,4,4,1.2085,,
4/3/25,OFAV_2.5,3.705,1,2,2,2,2,1.8525,,
4/9/25,OFAV_2.5,3.705,2,2,2,2,2,1.8525,,
3/12/25,OFAV_3,7.4818,1,4,4,4,4,1.87045,1247.453536,
4/29/25,OFAV_3.1,4.61,1,2,2,2,2,2.305,,
4/30/25,OFAV_3.1,4.61,2,2,2,2,2,2.305,,
4/29/25,OFAV_3.2,8.01,1,4,4,4,4,2.0025,,
4/30/25,OFAV_3.2,8.01,2,4,4,4,4,2.0025,,
4/29/25,OFAV_3.3,2.62,1,2,2,2,2,1.31,,
4/30/25,OFAV_3.3,2.62,2,2,2,2,2,1.31,,
4/29/25,OFAV_3.4,4.84,1,3,3,3,3,1.613333333,,
4/30/25,OFAV_3.4,4.84,2,2,2,2,2,2.42,,
4/29/25,OFAV_3.5,3.29,1,2,2,2,2,1.645,,
4/30/25,OFAV_3.5,3.29,2,2,2,2,2,1.645,,
3/12/25,OFAV_69.1,4.9362,1,2,2,2,2,2.4681,626.577367,
4/29/25,OFAV_69.1,4.54,1,2,2,2,2,2.27,,
4/30/25,OFAV_69.1,4.54,2,3,2,2,2.333333333,1.945714286,,
4/29/25,OFAV_69.2,5.59,1,4,4,4,4,1.3975,,
4/30/25,OFAV_69.2,5.59,2,3,3,3,3,1.863333333,,
4/29/25,OFAV_69.3,3.22,1,3,3,3,3,1.073333333,,
4/30/25,OFAV_69.3,3.22,2,2,2,2,2,1.61,,
4/29/25,OFAV_69.4,3.34,1,2,2,2,2,1.67,,
4/30/25,OFAV_69.4,3.34,2,2,2,2,2,1.67,,
4/29/25,OFAV_69.5,1.24,1,1,1,1,1,1.24,,
4/30/25,OFAV_69.5,1.24,2,1,1,1,1,1.24,,
