Date,Week Subset,Collection Time,Sample ID,Sample Location,Avg_TA_Sump,Avg_TA_Chamber,Delta_TA,pH,Benchtop pH,Notes,QA/QC
2/12/25,1,1600,OFAV_1.1,SUMP,2912.2,2652.6,259.60,8.02,,MDC,
2/12/25,1,1600,OFAV_1.2,SUMP,2848.85,2846.55,2.30,8.07,,MDC,
2/12/25,1,1600,OFAV_1.3,SUMP,2839.5,2845.35,-5.85,8.1,,MDC,
2/12/25,1,1600,OFAV_1.4,SUMP,2842.25,2834.05,8.20,8.07,,MDC,
2/12/25,1,1600,OFAV_1.5,SUMP,2727.5,2704.8,22.70,8.09,,MDC,
2/12/25,1,1600,OFAV_2.1,SUMP,2840.4,2695.65,144.75,8.07,,MDC,
2/12/25,1,1600,OFAV_2.2,SUMP,2822.7,2843.1,-20.40,8.04,,MDC,
2/12/25,1,1600,OFAV_2.3,SUMP,2827.9,2811.15,16.75,8.02,,MDC,
2/12/25,1,1600,OFAV_2.4,SUMP,2815.3,2840.5,-25.20,8.09,,MDC,
2/12/25,1,1600,OFAV_2.5,SUMP,2628.1,2706.3,-78.20,8.04,,MDC,
2/14/25,1,1400,OFAV_1.1,SUMP,2848.45,2598.55,249.90,8.09,,ET,
2/14/25,1,1400,OFAV_1.2,SUMP,2767.15,2891.45,-124.30,8.12,,ET,
2/14/25,1,1400,OFAV_1.3,SUMP,2860.7,2841.4,19.30,8.08,,ET,
2/14/25,1,1400,OFAV_1.4,SUMP,2842.95,2862.5,-19.55,8.02,,ET,
2/14/25,1,1400,OFAV_1.5,SUMP,2446.05,2579,-132.95,8.11,,ET,
2/14/25,1,1400,OFAV_2.1,SUMP,2996.2,2641.7,354.50,8.11,,ET,
2/14/25,1,1400,OFAV_2.2,SUMP,3302.75,3016.35,-43.35,8.12,,ET,
2/14/25,1,1400,OFAV_2.3,SUMP,2973,2972.15,-251.15,8.03,,ET,
2/14/25,1,1400,OFAV_2.4,SUMP,2879.35,2986.85,-466.05,8.07,,ET,
2/14/25,1,1400,OFAV_2.5,SUMP,2394.2,2569,195.05,8.04,,ET,
2/18/25,2,1200,OFAV_1.1,SUMP,2721,2421.55,227.50,7.67,,ET,
2/18/25,2,1200,OFAV_1.2,SUMP,2520.8,2750.7,-563.50,8.03,,ET,
2/18/25,2,1200,OFAV_1.3,SUMP,2764.05,2692.85,-1.25,7.78,,ET,
2/18/25,2,1200,OFAV_1.4,SUMP,2649.05,2710.85,-48.80,7.61,,ET,
2/18/25,2,1200,OFAV_1.5,SUMP,2187.2,2322,365.55,7.68,,ET,
2/18/25,2,1200,OFAV_2.1,SUMP,2691.6,2658.65,-39.85,7.85,,ET,
2/18/25,2,1200,OFAV_2.2,SUMP,2662.05,2687,-130.65,7.59,,ET,
2/18/25,2,1200,OFAV_2.3,SUMP,2687.55,2684.95,-45.90,7.51,,ET,
2/18/25,2,1200,OFAV_2.4,SUMP,2618.8,2681.85,-26.30,7.93,,ET,
2/18/25,2,1200,OFAV_2.5,SUMP,2556.35,2650.7,-5.75,7.54,,ET,
2/21/25,2,1200,OFAV_1.1,SUMP,2639.05,2601.1,39.35,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_1.2,SUMP,2655.55,2698.05,-290.75,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_1.3,SUMP,2644.95,2638.95,168.80,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_1.4,SUMP,2640.45,2638.15,26.15,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_1.5,SUMP,2407.3,2519.55,144.35,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.1,SUMP,2807.75,2505.75,61.85,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.2,SUMP,2664.3,2815.25,-359.90,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.3,SUMP,2663.9,2691.55,102.60,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.4,SUMP,2567.6,2667.35,-2.40,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.5,SUMP,2455.35,2350.3,306.85,,adjusted to CRM (- 20) ,ET,
2/24/25,3,1200,OFAV_1.1,SUMP,2794.15,2749.45,-256.10,7.95,,ET,
2/24/25,3,1200,OFAV_1.2,SUMP,2664.95,2648.3,-300.95,8.02,,ET,
2/24/25,3,1200,OFAV_1.3,SUMP,2657.15,2590.8,53.70,8.05,,ET,
2/24/25,3,1200,OFAV_1.4,SUMP,2493.35,2598.8,-160.05,8,,ET,
2/24/25,3,1200,OFAV_1.5,SUMP,2347.35,2283.6,545.90,8.03,,ET,
2/24/25,3,1200,OFAV_2.1,SUMP,2644.5,2828.05,-183.05,8.03,,ET,
2/24/25,3,1200,OFAV_2.2,SUMP,2438.75,2546.7,253.65,8.06,,ET,
2/24/25,3,1200,OFAV_2.3,SUMP,2829.5,2364.9,140.10,8.02,,ET,
2/24/25,3,1200,OFAV_2.4,SUMP,2645,2644.2,-132.30,7.98,,ET,
2/26/25,3,1200,OFAV_1.1,SUMP,2800.35,2774.6,-480.85,7.98,,ET,
2/26/25,3,1200,OFAV_1.2,SUMP,2505,2459.75,326.95,8.03,get from flashdrive ,ET,
2/26/25,3,1200,OFAV_1.3,SUMP,2511.9,2494.6,87.05,8.03,,ET,
2/26/25,3,1200,OFAV_1.4,SUMP,2327.35,2562.85,94.95,8.04,,ET,
2/26/25,3,1200,OFAV_1.5,SUMP,2293.75,2157,162.70,8.03,,ET,
2/26/25,3,1200,OFAV_2.1,SUMP,2786.7,2659.1,-169.15,8.02,,ET,
2/26/25,3,1200,OFAV_2.2,SUMP,2581.65,2494.85,28.00,8.05,,ET,
2/26/25,3,1200,OFAV_2.3,SUMP,2657.8,2536.45,12.80,8.05,,ET,
2/26/25,3,1200,OFAV_2.4,SUMP,2319.7,2544.2,-51.60,8.04,,ET,
2/26/25,3,1200,OFAV_2.5,SUMP,2489.95,2224.2,299.35,7.97,,ET,
2/28/25,3,1200,OFAV_1.1,SUMP,2522.85,2538.6,-585.35,8.05,,ET,
2/28/25,3,1200,OFAV_1.2,SUMP,2549.25,2530.25,-50.40,8.07,,ET,
2/28/25,3,1200,OFAV_1.3,SUMP,2492.6,2580.45,-84.30,8.05,,ET,
2/28/25,3,1200,OFAV_1.4,SUMP,2523.55,2573.65,-125.55,8.07,,ET,
2/28/25,3,1200,OFAV_1.5,SUMP,1953.25,2545.8,-63.80,8.07,,ET,
2/28/25,3,1200,OFAV_2.1,SUMP,2479.85,2499.1,-377.85,8.07,,ET,
2/28/25,3,1200,OFAV_2.2,SUMP,2496.15,2506.25,-150.25,8.08,,ET,
2/28/25,3,1200,OFAV_2.3,SUMP,2448.1,2518.6,-156.50,8.07,,ET,
