Individual,Buoyant Weight (g),Wet Weight (g),PAM (FV/FM),Volume,Photo 
OFAV_69.1,10.57,21.695,0.748,10,Yes
OFAV_69.1,10.58,21.688,0.742,7,
OFAV_69.1,10.57,21.686,0.718,10,
OFAV_69.2,9.28,19.859,0.734,10,Yes
OFAV_69.2,9.48,19.854,0.642,10,
OFAV_69.2,9.48,19.852,0.720,10,
OFAV_69.3,9.79,20.639,0.717,10,Yes
OFAV_69.3,9.79,20.692,0.795,10,
OFAV_69.3,9.79,20.627,0.718,10,
OFAV_60.4,13.26,28.931,0.737,15,Yes
OFAV_60.4,13.26,28.901,0.698,15,
OFAV_60.4,13.26,28.897,0.671,15,
OFAV_3.1,14.47,31.097,0.681,15,Yes
OFAV_3.1,14.48,31.087,0.682,15,
OFAV_3.1,14.47,31.075,0.707,17,
OFAV_3.2,13.78,29.086,0.687,15,Yes
OFAV_3.2,13.78,29.080,0.735,15,
OFAV_3.2,13.77,29.077,0.748,15,
OFAV_3.3,16.53,34.951,0.710,20,Yes
OFAV_3.3,16.52,34.934,0.685,20,
OFAV_3.3,16.53,34.922,0.720,20,
OFAV_3.4,18.34,38.991,0.726,20,Yes
OFAV_3.4,18.34,38.969,0.739,20,
OFAV_3.4,18.34,38.946,0.728,20,
OFAV_3.5,14.76,31.575,0.718,15,Yes
OFAV_3.5,14.76,31.562,0.732,15,
OFAV_3.5,14.76,31.557,0.715,15,
