Element/Isoptope,Emission line,Sample,Site,Concentration,%Error
Cr,283.563,3N_init,Reef,2,0
Cr,283.563,3N_final,Reef,2,0
Cr,283.563,DCC_init,Port,2,0
Cr,283.563,DCC_final,Port,10.4,0.6
Ni,221.647,3N_init,Reef,1.1,0.11
Ni,221.647,3N_final,Reef,0.994,0.065
Ni,221.647,DCC_init,Port,5.89,0.34
Ni,221.647,DCC_final,Port,5.66,0.53
Cu,324.754,3N_init,Reef,2,0
Cu,324.754,3N_final,Reef,2,0
Cu,324.754,DCC_init,Port,12,0.3
Cu,324.754,DCC_final,Port,12.1,0.5
Zn,213.856,3N_init,Reef,6.29,0.39
Zn,213.856,3N_final,Reef,2.7,0.34
Zn,213.856,DCC_init,Port,19.3,1.1
Zn,213.856,DCC_final,Port,19.6,1.8
As,189.042,3N_init,Reef,4.57,0.83
As,189.042,3N_final,Reef,4.68,0.52
As,189.042,DCC_init,Port,6.41,0.78
As,189.042,DCC_final,Port,6.28,1.2
Cd,228.802,3N_init,Reef,0.4,0
Cd,228.802,3N_final,Reef,0.4,0
Cd,228.802,DCC_init,Port,0.4,0
Cd,228.802,DCC_final,Port,0.4,0
Pb,220.353,3N_init,Reef,2,0
Pb,220.353,3N_final,Reef,2,0
Pb,220.353,DCC_init,Port,2.81,0.66
Pb,220.353,DCC_final,Port,2.53,0.73
Hg,184.95,3N_init,Reef,0.8,0
Hg,184.95,3N_final,Reef,0.8,0
Hg,184.95,DCC_init,Port,0.8,0
Hg,184.95,DCC_final,Port,0.8,0
